,Set_Name,Theme,Price,Pieces,Pages,Minifigures,Unique_Pieces
157,Elsa and Olaf's Tea Party,DUPLO,19.99,17.0,12.0,2.0,13.0
158,Olivia's Play Cube - Researcher,Friends,9.99,40.0,5.0,1.0,34.0
159,Mia's Play Cube - Veterinarian,Friends,9.99,40.0,5.0,1.0,32.0
160,Emma's Play Cube - Photographer,Friends,9.99,36.0,5.0,1.0,31.0
164,Andrea's Car & Stage,Friends,19.99,240.0,68.0,2.0,116.0
166,Submarine Adventure,DUPLO,19.99,24.0,8.0,2.0,22.0
167,Fire Truck,DUPLO,19.99,21.0,10.0,2.0,16.0
168,Minnie's Birthday Party,Disney,19.99,21.0,12.0,1.0,18.0
170,Spinjitzu Zane,NINJAGO,9.99,109.0,32.0,1.0,21.0
171,Juice Truck,Friends,19.99,103.0,52.0,2.0,75.0
172,Kai's Fire Dragon,NINJAGO,19.99,81.0,60.0,2.0,48.0
173,Safari Off-Roader,City,19.99,168.0,76.0,2.0,86.0
174,Heartlake City Hair Salon,Friends,19.99,235.0,84.0,2.0,138.0
175,T-16 Skyhopper vs Bantha Microfighters,Star Wars,19.99,198.0,84.0,2.0,100.0
176,Kai's Mech Jet,NINJAGO,19.99,217.0,116.0,2.0,94.0
178,Naboo Starfighter Microfighter,Star Wars,9.99,62.0,36.0,1.0,42.0
179,Spinjitzu Slam - Zane,NINJAGO,9.99,63.0,40.0,1.0,37.0
180,Stephanie's Play Cube - Baker,Friends,9.99,44.0,5.0,1.0,37.0
181,Mia's Heart Box,Friends,7.99,83.0,32.0,1.0,38.0
182,Olivia's Play Cube - Sweet Shop,Friends,9.99,47.0,5.0,1.0,40.0
183,Desert Rally Racer,City,9.99,75.0,36.0,1.0,45.0
186,Andrea's Play Cube - Singer,Friends,9.99,49.0,5.0,1.0,32.0
187,Rapunzel's Small Tower,Disney,9.99,44.0,24.0,1.0,28.0
188,Mia's Forest Adventures ,Friends,14.99,134.0,44.0,1.0,77.0
189,Nissan GT-R NISMO,Speed Champions,19.99,298.0,80.0,1.0,101.0
191,Cole - Spinjitzu Master,NINJAGO,9.99,73.0,32.0,1.0,40.0
192,Zane - Dragon Master,NINJAGO,14.99,92.0,48.0,1.0,54.0
194,Mighty Micros: Star-Lord vs. Nebula,Marvel,9.99,86.0,7.0,2.0,45.0
197,Zane - Spinjitzu Master,NINJAGO,9.99,69.0,32.0,1.0,38.0
198,Andrea's Play Cube - Pet Shop,Friends,9.99,40.0,5.0,1.0,33.0
199,Bubbles Playground Showdown,Powerpuff Girls,19.99,144.0,48.0,3.0,92.0
200,Benny's Space Squad,THE LEGO MOVIE 2,9.99,68.0,32.0,5.0,53.0
202,Lloyd's Journey,NINJAGO,14.99,81.0,36.0,2.0,50.0
203,Olivia's Hamster Playground,Friends,9.99,81.0,40.0,1.0,52.0
206,Snowspeeder,Star Wars,19.99,91.0,56.0,2.0,64.0
207,Hogwarts Room of Requirement,Harry Potter,19.99,193.0,60.0,4.0,90.0
208,Dr. Wu's Lab: Baby Dinosaurs Breakout,Jurassic World,19.99,164.0,64.0,2.0,100.0
209,Heartlake City Park Café,Friends,19.99,224.0,72.0,2.0,117.0
210,Spider-Man vs. Doc Ock,Marvel,19.99,234.0,72.0,3.0,80.0
211,Ferrari F8 Tributo,Speed Champions,19.99,275.0,72.0,1.0,92.0
212,1985 Audi Sport Quattro S1,Speed Champions,19.99,250.0,76.0,1.0,102.0
216,Emmet and Benny's 'Build and Fix' Workshop!,THE LEGO MOVIE 2,19.99,117.0,48.0,2.0,73.0
219,Duke Caboom's Stunt Show,Disney,19.99,120.0,48.0,2.0,62.0
220,Golden Dragon Master,NINJAGO,14.99,92.0,48.0,1.0,54.0
222,J.B.'s Submarine,Hidden Side,19.99,224.0,64.0,3.0,120.0
223,Battle-Ready Batman and MetalBeard,Batman,19.99,168.0,64.0,2.0,98.0
224,Baby Elephant Jungle Rescue,Friends,19.99,203.0,68.0,2.0,111.0
226,Wrecking Ball,Overwatch,19.99,227.0,84.0,1.0,78.0
229,Kai - Dragon Master,NINJAGO,14.99,92.0,48.0,1.0,53.0
231,Batman vs. The Riddler Robbery,Batman,9.99,59.0,36.0,2.0,44.0
232,World Fun,Classic,19.99,295.0,53.0,2.0,149.0
234,Mining Power Splitter,City,19.99,127.0,60.0,1.0,85.0
235,Buzz and Bo Peep's Playground Adventure,Disney,24.99,139.0,48.0,3.0,85.0
236,Tracer vs. Widowmaker,Overwatch,14.99,129.0,48.0,2.0,74.0
237,Spinjitzu Slam - Kai vs. Samurai,NINJAGO,19.99,164.0,76.0,2.0,67.0
238,Outrider Dropship Attack,Marvel,14.99,124.0,52.0,3.0,63.0
241,Alphabet Truck,DUPLO,24.99,36.0,1.0,2.0,35.0
242,Train Bridge and Tracks,DUPLO,24.99,26.0,16.0,1.0,10.0
243,Mining Team,City,9.99,82.0,32.0,4.0,64.0
244,Elsa's Market Adventure,Disney,19.99,125.0,48.0,2.0,78.0
245,Drone Chase,City,29.99,192.0,100.0,3.0,112.0
246,Jay - Dragon Master,NINJAGO,14.99,92.0,48.0,1.0,53.0
247,Airport,DUPLO,24.99,29.0,20.0,3.0,24.0
250,Molten Man Battle,Spider-Man,29.99,294.0,76.0,3.0,117.0
251,Spider-Man Car Chase,Marvel,9.99,52.0,36.0,2.0,38.0
253,J.B.'s Ghost Lab,Hidden Side,19.99,174.0,64.0,3.0,104.0
254,Hoth Generator Attack,Star Wars,29.99,235.0,68.0,2.0,101.0
256,Kayak Adventure,City,9.99,84.0,36.0,1.0,48.0
257,Plane,DUPLO,9.99,12.0,10.0,1.0,11.0
258,Airshow Jet,City,9.99,87.0,56.0,1.0,53.0
259,Sith Infiltrator Microfighter,Star Wars,9.99,92.0,40.0,1.0,45.0
261,Dock Side Fire,City,19.99,97.0,48.0,2.0,63.0
262,Graveyard Mystery,Hidden Side,29.99,335.0,112.0,4.0,160.0
263,Fire Helicopter Response,City,29.99,93.0,44.0,3.0,61.0
264,Hungarian Horntail Triwizard Challenge,Harry Potter,29.99,265.0,52.0,4.0,101.0
265,Elsa and the Reindeer Carriage,LEGO Frozen 2,29.99,116.0,72.0,1.0,78.0
266,Racing Cars,City,29.99,190.0,84.0,2.0,101.0
267,Ultrakatty & Warrior Lucy!,THE LEGO MOVIE 2,29.99,348.0,92.0,2.0,119.0
268,Lonesome Flats Raft Adventure,Trolls World Tour,29.99,159.0,100.0,3.0,110.0
269,Cinderella's Castle Celebration,Disney,29.99,168.0,100.0,1.0,96.0
270,Wrecked Shrimp Boat,Hidden Side,29.99,310.0,108.0,4.0,150.0
271,Jay and Lloyd's Velocity Racers,NINJAGO,29.99,322.0,148.0,3.0,142.0
272,Underwater Loop,Friends,29.99,389.0,76.0,2.0,165.0
273,Fire Chief Response Truck,City,29.99,201.0,84.0,2.0,98.0
275,Rover Testing Drive,City,29.99,202.0,96.0,2.0,98.0
276,Shuricopter,NINJAGO,29.99,361.0,100.0,3.0,163.0
277,The Blaze Bridge,Minecraft,29.99,372.0,108.0,3.0,127.0
278,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,29.99,478.0,124.0,3.0,159.0
279,Hanzo vs. Genji,Overwatch,19.99,197.0,60.0,3.0,84.0
280,Resistance A-wing Starfighter,Star Wars,29.99,269.0,84.0,2.0,112.0
281,Mia's Organic Food Market,Friends,19.99,115.0,56.0,1.0,70.0
282,Poppy's Air Balloon Adventure,Trolls World Tour,29.99,250.0,68.0,3.0,121.0
284,First Order TIE Fighter Microfighter,Star Wars,9.99,91.0,40.0,1.0,47.0
285,Nya - Spinjitzu Master,NINJAGO,9.99,69.0,32.0,1.0,43.0
286,Pteranodon Escape,Juniors,19.99,84.0,56.0,2.0,60.0
287,The Pillager Outpost,Minecraft,29.99,303.0,68.0,3.0,94.0
288,The Menace of Mysterio,Marvel,29.99,163.0,128.0,3.0,97.0
290,Monster Truck,City,19.99,192.0,76.0,1.0,76.0
291,Brick Box,DUPLO,29.99,65.0,20.0,2.0,46.0
292,Police Highway Arrest,City,29.99,185.0,108.0,2.0,98.0
294,Super Heroes Lab,DUPLO,29.99,30.0,16.0,3.0,23.0
295,Gamer's Market,NINJAGO,29.99,218.0,64.0,9.0,133.0
296,Nature Glamping,Friends,29.99,241.0,72.0,2.0,110.0
297,Empire Dragon,NINJAGO,29.99,286.0,80.0,3.0,118.0
298,Olivia's Cupcake Cafe,Friends,29.99,335.0,100.0,2.0,185.0
299,Race Boat Transporter,City,29.99,238.0,124.0,2.0,123.0
300,Wild River Escape,City,19.99,126.0,56.0,2.0,71.0
301,Service & Care Truck,Friends,19.99,247.0,84.0,1.0,123.0
302,War Machine Buster,Marvel,34.99,362.0,64.0,4.0,122.0
303,El Fuego's Stunt Truck,Hidden Side,39.99,428.0,156.0,4.0,198.0
304,Anakin's Jedi Starfighter,Star Wars,19.99,247.0,84.0,2.0,111.0
305,The Golden Dragon,NINJAGO,19.99,171.0,60.0,3.0,74.0
306,Tatooine Battle Pack,Star Wars,14.99,97.0,36.0,4.0,53.0
307,Obi-Wan's Hut,Star Wars,29.99,200.0,68.0,4.0,118.0
309,Heart Box Friendship Pack,Friends,19.99,199.0,60.0,2.0,90.0
310,RV Vacation,Disney,34.99,178.0,72.0,3.0,106.0
311,Mighty Micros: Thor vs. Loki,Marvel,9.99,79.0,7.0,2.0,47.0
312,Duel on Starkiller Base,Star Wars,19.99,191.0,68.0,2.0,83.0
313,Stephanie's Bedroom,Friends,9.99,95.0,44.0,1.0,72.0
314,Race Plane,Creator 3-in-1,29.99,333.0,200.0,1.0,134.0
315,Action Battle Endor Assault,Star Wars,29.99,193.0,64.0,2.0,108.0
316,Ski Speeder vs. First Order Walker Microfighters,Star Wars,19.99,216.0,92.0,2.0,94.0
317,Anakin's Podracer  20th Anniversary Edition,Star Wars,29.99,279.0,84.0,3.0,110.0
318,Spinjitzu Jay,NINJAGO,9.99,97.0,32.0,1.0,23.0
319,Spinjitzu Cole,NINJAGO,9.99,117.0,32.0,1.0,26.0
320,Dilophosaurus on the Loose,Jurassic World,19.99,168.0,60.0,3.0,88.0
322,Luke Skywalker's Landspeeder,Star Wars,29.99,236.0,72.0,3.0,104.0
323,Jay - Spinjitzu Master,NINJAGO,9.99,68.0,32.0,1.0,39.0
324,Spinjitzu Nya & Wu,NINJAGO,19.99,227.0,56.0,2.0,49.0
325,Aragog's Lair,Harry Potter,14.99,157.0,56.0,2.0,82.0
326,Anakin's Jedi Interceptor,Star Wars,29.99,248.0,68.0,2.0,100.0
327,A-Wing vs. TIE Silencer Microfighters,Star Wars,19.99,188.0,72.0,2.0,88.0
328,Velociraptor: Biplane Rescue Mission,Jurassic World,29.99,101.0,76.0,2.0,72.0
329,Forbidden Forest: Umbridge's Encounter,Harry Potter,29.99,253.0,84.0,4.0,121.0
330,Spiderjet vs. Venom Mech,Marvel,29.99,371.0,84.0,3.0,136.0
331,El Fuego's Stunt Plane,Hidden Side,29.99,295.0,92.0,3.0,149.0
332,Newbury Subway,Hidden Side,29.99,348.0,108.0,3.0,146.0
333,Emma's Fashion Shop,Friends,29.99,343.0,112.0,2.0,152.0
334,Panda Jungle Tree House,Friends,29.99,265.0,120.0,2.0,149.0
335,Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,29.99,565.0,128.0,2.0,186.0
338,Bakery,DUPLO,34.99,46.0,20.0,2.0,33.0
339,Police Station,DUPLO,29.99,38.0,22.0,3.0,25.0
340,Kai - Spinjitzu Master,NINJAGO,9.99,61.0,32.0,1.0,33.0
341,First Order Specialists Battle Pack,Star Wars,14.99,108.0,36.0,3.0,48.0
342,X-wing Starfighter Trench Run,Star Wars,29.99,132.0,64.0,3.0,65.0
343,Supernatural Race Car,Hidden Side,29.99,244.0,80.0,3.0,115.0
345,Spinjitzu Kai,NINJAGO,9.99,97.0,32.0,1.0,23.0
347,Ariel's Underwater Concert,Juniors,14.99,92.0,40.0,1.0,55.0
348,Emmet and Lucy's Visitors from the DUPLO Planet,THE LEGO MOVIE 2,29.99,53.0,25.0,2.0,37.0
349,Ford Fiesta M-Sport WRC,Speed Champions,14.99,203.0,60.0,1.0,88.0
350,Off-Road Chase,City,6.99,37.0,20.0,2.0,28.0
352,Turtles Rescue Mission,Friends,19.99,225.0,72.0,2.0,125.0
353,Parachute Arrest,City,39.99,218.0,120.0,4.0,139.0
354,City Advent Calendar,City,29.99,234.0,3.0,8.0,161.0
355,Pteranodon Chase,Jurassic World,19.99,126.0,44.0,2.0,68.0
356,Dolphins Rescue Mission,Friends,39.99,363.0,116.0,2.0,192.0
357,Spider-Man Bike Rescue,Marvel,19.99,235.0,92.0,3.0,98.0
358,People Pack - Fun Fair,City,39.99,183.0,64.0,14.0,138.0
359,Elsa's Jewellery Box,LEGO Frozen 2,39.99,300.0,96.0,1.0,89.0
360,Ninja Tuner Car,NINJAGO,39.99,419.0,108.0,3.0,143.0
361,Mars Research Shuttle,City,39.99,273.0,160.0,2.0,135.0
362,The Knight Bus,Harry Potter,39.99,403.0,84.0,3.0,128.0
363,Fire Fang,NINJAGO,39.99,463.0,88.0,4.0,175.0
365,Batman: The Attack of the Talons,Batman,19.99,155.0,60.0,3.0,82.0
366,Buzz & Woody's Carnival Mania!,Disney,49.99,230.0,52.0,5.0,106.0
367,Volcano Rock City Concert,Trolls World Tour,39.99,387.0,120.0,3.0,175.0
368,Stephanie's Buggy & Trailer ,Friends,19.99,166.0,48.0,1.0,97.0
369,Road Repair Truck,Juniors,9.99,73.0,32.0,1.0,50.0
370,Heartlake City Supermarket,Friends,29.99,140.0,68.0,2.0,90.0
371,Katana V11,NINJAGO,19.99,257.0,84.0,2.0,111.0
372,Elastigirl's Rooftop Pursuit,Juniors,19.99,95.0,64.0,2.0,77.0
374,Belle's Story Time,Juniors,14.99,87.0,44.0,2.0,66.0
376,Spider-Man vs. Scorpion Street Showdown,Marvel,19.99,125.0,64.0,2.0,82.0
377,City Advent Calendar,City,29.99,313.0,4.0,6.0,194.0
379,Arctic Ice Crawler,City,24.99,200.0,92.0,1.0,80.0
380,Burger Bar Fire Rescue,City,39.99,327.0,164.0,3.0,153.0
382,1968 Ford Mustang Fastback,Speed Champions,14.99,183.0,60.0,1.0,74.0
383,Elite Praetorian Guard Battle Pack,Star Wars,14.99,109.0,40.0,4.0,52.0
384,Wonder Woman vs. Cheetah,DC,39.99,371.0,84.0,3.0,130.0
385,Jay's Storm Fighter,NINJAGO,39.99,490.0,140.0,4.0,195.0
387,Forest Tractor,City,19.99,174.0,64.0,1.0,77.0
388,Mia's Horse Trailer,Friends,29.99,216.0,76.0,2.0,119.0
389,Andrea's Bedroom,Friends,9.99,85.0,44.0,1.0,60.0
390,Mountain Police Chase,Juniors,19.99,115.0,64.0,2.0,85.0
391,Daredevil Stunt Plane,Creator 3-in-1,19.99,200.0,120.0,1.0,86.0
393,Dr. Fox Laboratory,Unikitty,29.99,359.0,132.0,4.0,163.0
394,Police Helicopter Chase,City,39.99,212.0,128.0,4.0,127.0
395,Stephanie's Obstacle Course,Friends,39.99,337.0,100.0,2.0,168.0
396,Baking Competition,Friends,39.99,361.0,104.0,3.0,157.0
397,Golden Mech,NINJAGO,39.99,489.0,108.0,4.0,172.0
398,Batman Batsub and the Underwater Clash,Batman,19.99,174.0,64.0,3.0,82.0
399,Batmobile: Pursuit of The Joker,Batman,29.99,342.0,80.0,2.0,114.0
400,Friends Advent Calendar,Friends,29.99,330.0,2.0,3.0,158.0
401,Mojo Jojo Strikes,Powerpuff Girls,29.99,228.0,76.0,4.0,149.0
403,The Skull Arena,Minecraft,19.99,198.0,68.0,2.0,68.0
404,Mia's Bedroom,Friends,9.99,86.0,48.0,1.0,63.0
405,Han Solo's Landspeeder,Star Wars,29.99,345.0,96.0,2.0,126.0
407,Farmers' Market,DUPLO,19.99,26.0,9.0,3.0,18.0
408,Inferno Squad Battle Pack,Star Wars,14.99,118.0,40.0,4.0,52.0
409,Spider-Man: Doc Ock Diamond Heist,Marvel,29.99,150.0,96.0,3.0,98.0
410,Batman: Brother Eye Takedown,Batman,29.99,269.0,76.0,3.0,103.0
411,Mr. Freeze Batcycle Battle,Batman,19.99,200.0,68.0,3.0,97.0
412,Outback Adventures,Creator 3-in-1,19.99,225.0,148.0,1.0,103.0
413,Jedi and Clone Troopers Battle Pack,Star Wars,14.99,102.0,32.0,3.0,54.0
415,Ferrari 488 GT3 Scuderia Corsa,Speed Champions,14.99,179.0,56.0,1.0,78.0
416,The Bat-Dune Buggy,DC,19.99,198.0,64.0,2.0,92.0
417,Ambulance Helicopter,City,19.99,190.0,84.0,3.0,108.0
418,LEGO Movie Maker,THE LEGO MOVIE 2,49.99,482.0,96.0,6.0,243.0
419,Creative Tuning Shop,Friends,39.99,413.0,108.0,2.0,217.0
420,Dorado Showdown,Overwatch,29.99,419.0,124.0,3.0,168.0
422,Spinjitzu Lloyd vs. Garmadon,NINJAGO,19.99,208.0,52.0,2.0,44.0
425,Beauxbatons' Carriage: Arrival at Hogwarts ,Harry Potter,49.99,430.0,84.0,4.0,160.0
426,Star Wars Advent Calendar,Star Wars,39.99,307.0,4.0,7.0,186.0
428,Rhino Face-Off by the Mine,Marvel,19.99,229.0,88.0,3.0,100.0
429,Iron Man Hulkbuster versus A.I.M. Agent,Marvel,39.99,456.0,80.0,4.0,143.0
431,Junkrat & Roadhog,Overwatch,49.99,380.0,92.0,2.0,168.0
432,Tiger Hot Air Balloon Jungle Rescue,Friends,39.99,302.0,116.0,2.0,145.0
433,Avengers Truck Take-down,Marvel,39.99,477.0,116.0,4.0,164.0
434,Ocean Exploration Submarine,City,39.99,286.0,141.0,4.0,131.0
435,Townhouse Toy Store,Creator 3-in-1,39.99,554.0,268.0,2.0,194.0
436,Space Rover Explorer,Creator 3-in-1,39.99,510.0,276.0,1.0,206.0
437,Riverside Houseboat,Creator 3-in-1,39.99,396.0,200.0,2.0,157.0
439,Rebel A-wing Starfighter,Star Wars,14.99,62.0,36.0,2.0,44.0
440,Rapunzel's Castle Bedroom,Disney,19.99,156.0,56.0,1.0,93.0
441,Zane's Ninja Boat Pursuit,Juniors,19.99,131.0,64.0,2.0,78.0
442,Stephanie's Gymnastics Show,Friends,29.99,241.0,76.0,2.0,114.0
443,The Redstone Battle,Minecraft,39.99,504.0,88.0,4.0,133.0
446,Spider Mech vs. Venom ,Marvel,49.99,604.0,104.0,4.0,203.0
447,Pasaana Speeder Chase,Star Wars,39.99,373.0,116.0,4.0,177.0
448,Enchanted Tree House,LEGO Frozen 2,49.99,302.0,120.0,3.0,174.0
449,Pop Village Celebration,Trolls World Tour,49.99,380.0,120.0,5.0,205.0
450,Haunted Fairground,Hidden Side,49.99,466.0,124.0,5.0,212.0
451,Shrimp Shack Attack,Hidden Side,49.99,578.0,128.0,5.0,293.0
452,Newbury Abandoned Prison,Hidden Side,39.99,400.0,132.0,4.0,164.0
454,1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,Speed Champions,49.99,481.0,64.0,4.0,187.0
455,Superman & Krypto Team-Up,DC,19.99,199.0,76.0,2.0,110.0
456,Black Ace TIE Interceptor,Star Wars,49.99,396.0,84.0,3.0,161.0
457,Andrea's Pool Party,Friends,49.99,468.0,112.0,2.0,221.0
458,Garage Centre,City,49.99,234.0,116.0,4.0,62.0
459,AT-ST Raider,Star Wars,49.99,540.0,120.0,4.0,211.0
460,Katana 4X4,NINJAGO,49.99,450.0,128.0,5.0,185.0
